cell,gene_symbol
I2L,dop-4
I2L,ser-1
I2L,ser-7
I2R,dop-4
I2R,ser-1
I2R,ser-7
I3,dop-4
I3,octr-1
I3,ser-5
I3,ser-6
I3,ser-7
I4,ser-7
I4,tyra-3
I5,dop-1
I5,ser-7
I6,ser-7
IL1DL,dop-3
IL1DL,ser-7
IL1DL,tyra-3
IL1DR,dop-3
IL1DR,ser-7
IL1DR,tyra-3
IL1L,dop-3
IL1L,ser-7
IL1L,tyra-3
IL1R,dop-3
IL1R,ser-7
IL1R,tyra-3
IL1VL,dop-3
IL1VL,ser-7
IL1VL,tyra-3
IL1VR,dop-3
IL1VR,ser-7
IL1VR,tyra-3
IL2DL,ser-5
IL2DR,ser-5
IL2L,octr-1
IL2L,ser-1
IL2L,ser-5
IL2R,octr-1
IL2R,ser-1
IL2R,ser-5
IL2VL,ser-5
IL2VR,ser-5
LUAL,tyra-3
LUAR,tyra-3
M1,dop-4
M1,octr-1
M1,ser-4
M1,tyra-3
M2L,octr-1
M2L,ser-7
M2R,octr-1
M2R,ser-7
M3L,ser-2
M3L,ser-3
M3L,ser-7
M3R,ser-2
M3R,ser-3
M3R,ser-7
M4,octr-1
M4,ser-7
M4,tyra-3
M5,ser-7
MCL,ser-7
MCL,tyra-2
MCR,ser-7
MCR,tyra-2
MI,octr-1
MI,ser-7
NSML,ser-1
NSML,ser-2
NSML,ser-4
NSML,tyra-2
NSML,tyra-3
NSMR,ser-1
NSMR,ser-2
NSMR,ser-4
NSMR,tyra-2
NSMR,tyra-3
OLLL,dop-4
OLLL,ser-2
OLLL,ser-3
OLLL,tyra-3
OLLR,dop-4
OLLR,ser-2
OLLR,ser-3
OLLR,tyra-3
OLQDL,dop-2
OLQDL,tyra-3
OLQDR,dop-2
OLQDR,tyra-3
OLQVL,dop-2
OLQVL,tyra-3
OLQVR,dop-2
OLQVR,tyra-3
PDB,dop-1
PDB,dop-2
PDB,ser-3
PDB,tyra-3
PDEL,dop-2
PDER,dop-2
PHAL,dop-3
PHAL,ser-3
PHAR,dop-3
PHAR,ser-3
PHBL,ser-3
PHBR,ser-3
PLML,dop-1
PLML,dop-4
PLML,octr-1
PLMR,dop-1
PLMR,dop-4
PLMR,octr-1
PLNL,ser-2
PLNR,ser-2
PVCL,octr-1
PVCL,ser-4
PVCL,tyra-3
PVCR,octr-1
PVCR,ser-4
PVCR,tyra-3
PVDL,dop-1
PVDL,dop-3
PVDL,octr-1
PVDL,ser-2
PVDL,ser-4
PVDL,tyra-3
PVDR,dop-1
PVDR,dop-3
PVDR,octr-1
PVDR,ser-2
PVDR,ser-4
PVDR,tyra-3
PVM,dop-2
PVM,dop-3
PVM,dop-4
PVM,octr-1
PVM,ser-2
PVM,tyra-3
PVNL,dop-1
PVNL,dop-3
PVNL,ser-4
PVNR,dop-1
PVNR,dop-3
PVNR,ser-4
PVPL,tyra-3
PVPR,tyra-3
PVQL,ser-3
PVQL,tyra-2
PVQL,tyra-3
PVQR,ser-3
PVQR,tyra-2
PVQR,tyra-3
PVR,dop-1
PVR,tyra-2
PVR,tyra-3
PVT,ser-1
PVT,ser-3
PVWL,dop-1
PVWL,ser-4
PVWL,tyra-3
PVWR,dop-1
PVWR,ser-4
PVWR,tyra-3
RIAL,dop-2
RIAL,ser-1
RIAR,dop-2
